"Magnitude ID";"User ID";"Obs Session ID";Shower;"Start Date";"End Date";"Mag N6";"Mag N5";"Mag N4";"Mag N3";"Mag N2";"Mag N1";"Mag 0";"Mag 1";"Mag 2";"Mag 3";"Mag 4";"Mag 5";"Mag 6";"Mag 7"
288312;7956;80105;GNO;"2020-03-19 11:35:00";"2020-03-19 12:35:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
288313;7956;80105;SPO;"2020-03-19 09:35:00";"2020-03-19 10:35:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;2.00;1.00;1.00;0.00;0.00;0.00
288314;7956;80105;SPO;"2020-03-19 10:35:00";"2020-03-19 11:35:00";0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;1.00;4.00;1.00;0.00;0.00;0.00
288315;7956;80105;SPO;"2020-03-19 11:35:00";"2020-03-19 12:35:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;2.00;8.00;1.00;0.00;0.00;0.00
288316;7956;80106;ANT;"2020-03-20 11:20:00";"2020-03-20 12:20:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00
288317;7956;80106;ANT;"2020-03-20 12:40:00";"2020-03-20 13:40:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00
288318;7956;80106;ANT;"2020-03-20 13:50:00";"2020-03-20 14:50:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.00;0.00;0.00;0.00;0.00
288319;7956;80106;GNO;"2020-03-20 11:20:00";"2020-03-20 12:20:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00
288320;7956;80106;GNO;"2020-03-20 12:40:00";"2020-03-20 13:40:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
288321;7956;80106;GNO;"2020-03-20 13:50:00";"2020-03-20 14:50:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00
288322;7956;80106;SPO;"2020-03-20 11:20:00";"2020-03-20 12:20:00";0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;1.00;1.00;2.00;0.00;0.00;0.00
288323;7956;80106;SPO;"2020-03-20 12:40:00";"2020-03-20 13:40:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;4.00;3.00;1.00;0.00;0.00;0.00
288324;7956;80106;SPO;"2020-03-20 13:50:00";"2020-03-20 14:50:00";0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;3.00;5.00;1.00;0.00;0.00;0.00
288325;7956;80107;ANT;"2020-03-21 09:55:00";"2020-03-21 10:55:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
288326;7956;80107;ANT;"2020-03-21 10:55:00";"2020-03-21 11:55:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
288327;7956;80107;ANT;"2020-03-21 12:05:00";"2020-03-21 13:05:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00
288328;7956;80107;GNO;"2020-03-21 09:55:00";"2020-03-21 10:55:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
288329;7956;80107;GNO;"2020-03-21 10:55:00";"2020-03-21 11:55:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00
288330;7956;80107;GNO;"2020-03-21 12:05:00";"2020-03-21 13:05:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
288331;7956;80107;SPO;"2020-03-21 09:55:00";"2020-03-21 10:55:00";0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;2.00;4.00;1.00;0.00;0.00;0.00
288332;7956;80107;SPO;"2020-03-21 10:55:00";"2020-03-21 11:55:00";0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;2.00;0.00;1.00;0.00;0.00;0.00
288333;7956;80107;SPO;"2020-03-21 12:05:00";"2020-03-21 13:05:00";0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;3.00;3.00;4.00;0.00;0.00;0.00
288334;7956;80108;ANT;"2020-03-22 09:25:00";"2020-03-22 10:25:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00
288335;7956;80108;ANT;"2020-03-22 10:25:00";"2020-03-22 11:25:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
288336;7956;80108;ANT;"2020-03-22 12:10:00";"2020-03-22 13:10:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00
288337;7956;80108;GNO;"2020-03-22 09:25:00";"2020-03-22 10:25:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
288338;7956;80108;GNO;"2020-03-22 10:25:00";"2020-03-22 11:25:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
288339;7956;80108;GNO;"2020-03-22 12:10:00";"2020-03-22 13:10:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
288340;7956;80108;SPO;"2020-03-22 09:25:00";"2020-03-22 10:25:00";0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;2.00;2.00;1.00;0.00;0.00;0.00
