"Rate ID";"User ID";"Obs Session ID";"Start Date";"End Date";Ra;Decl;Teff;F;Lm;Shower;Method;Number
964470;210;79794;"2020-01-03 02:25:00";"2020-01-03 03:10:00";110.0000;30.0000;0.7500;1.0000;6.67;DLM;C;2
964471;210;79794;"2020-01-03 02:25:00";"2020-01-03 03:10:00";110.0000;30.0000;0.7500;1.0000;6.67;SPO;C;10
964472;210;79794;"2020-01-03 03:10:00";"2020-01-03 03:55:00";120.0000;40.0000;0.7500;1.0000;6.67;ANT;C;1
964473;210;79794;"2020-01-03 03:10:00";"2020-01-03 03:55:00";120.0000;40.0000;0.7500;1.0000;6.67;QUA;C;10
964474;210;79794;"2020-01-03 03:10:00";"2020-01-03 03:55:00";120.0000;40.0000;0.7500;1.0000;6.67;DLM;C;3
964475;210;79794;"2020-01-03 03:10:00";"2020-01-03 03:55:00";120.0000;40.0000;0.7500;1.0000;6.67;SPO;C;12
964476;210;79794;"2020-01-03 03:55:00";"2020-01-03 04:40:00";130.0000;40.0000;0.7500;1.0000;6.67;ANT;C;4
964477;210;79794;"2020-01-03 03:55:00";"2020-01-03 04:40:00";130.0000;40.0000;0.7500;1.0000;6.67;QUA;C;12
964478;210;79794;"2020-01-03 03:55:00";"2020-01-03 04:40:00";130.0000;40.0000;0.7500;1.0000;6.67;DLM;C;2
964479;210;79794;"2020-01-03 03:55:00";"2020-01-03 04:40:00";130.0000;40.0000;0.7500;1.0000;6.67;SPO;C;12
964480;210;79794;"2020-01-03 04:40:00";"2020-01-03 05:25:00";150.0000;40.0000;0.7500;1.0000;6.67;ANT;C;3
964481;210;79794;"2020-01-03 04:40:00";"2020-01-03 05:25:00";150.0000;40.0000;0.7500;1.0000;6.67;QUA;C;14
964482;210;79794;"2020-01-03 04:40:00";"2020-01-03 05:25:00";150.0000;40.0000;0.7500;1.0000;6.67;DLM;C;1
964483;210;79794;"2020-01-03 04:40:00";"2020-01-03 05:25:00";150.0000;40.0000;0.7500;1.0000;6.67;SPO;C;10
964484;194;79795;"2020-01-03 18:27:00";"2020-01-03 18:59:00";140.0000;60.0000;0.5333;1.0000;5.3;QUA;C;2
